time_est,open,high,low,close
07:01,4449.845,4449.855,4448.805,4449.235
07:02,4449.165,4449.335,4447.945,4448.275
07:03,4448.235,4448.345,4445.935,4446.385
07:04,4446.435,4448.475,4445.725,4448.025
07:05,4448.505,4448.875,4447.005,4448.525
07:06,4448.705,4448.825,4446.978,4447.285
07:07,4447.715,4448.755,4446.765,4447.735
07:08,4447.715,4448.655,4445.335,4445.555
07:09,4445.595,4446.635,4444.965,4446.065
07:10,4445.705,4446.275,4444.695,4445.125
07:11,4445.165,4445.185,4444.105,4444.725
07:12,4444.765,4445.055,4443.875,4444.715
07:13,4444.665,4444.705,4443.415,4443.995
07:14,4444.015,4446.175,4443.245,4445.425
07:15,4445.395,4447.875,4445.085,4447.535
07:16,4447.515,4447.755,4446.055,4446.055
07:17,4446.085,4447.265,4444.835,4446.245
07:18,4446.165,4446.225,4440.248,4441.625
07:19,4441.625,4442.815,4440.105,4442.055
07:20,4442.105,4443.025,4439.135,4442.645
07:21,4442.665,4446.625,4442.025,4446.515
07:22,4446.565,4447.115,4445.135,4446.355
07:23,4446.395,4447.095,4446.035,4446.645
07:24,4446.645,4447.575,4446.575,4447.095
07:25,4447.225,4447.845,4443.535,4444.125
07:26,4444.125,4447.215,4443.975,4447.065
07:27,4447.065,4448.175,4446.265,4447.765
07:28,4447.955,4449.285,4447.535,4449.095
07:29,4449.075,4450.255,4448.275,4449.845
07:30,4449.795,4452.365,4449.165,4451.735
07:31,4451.705,4453.155,4451.055,4451.915
07:32,4451.885,4454.275,4451.545,4454.255
07:33,4454.155,4454.455,4453.235,4453.935
07:34,4453.915,4453.995,4452.385,4453.025
07:35,4453.065,4454.465,4452.825,4454.348
07:36,4454.335,4454.475,4453.295,4454.455
07:37,4454.425,4454.805,4453.315,4453.315
07:38,4453.235,4453.615,4452.955,4453.415
07:39,4453.455,4454.105,4450.965,4451.335
07:40,4451.365,4452.435,4449.895,4450.165
07:41,4450.115,4453.225,4449.955,4453.225
07:42,4453.175,4453.725,4452.355,4452.355
07:43,4452.278,4452.278,4450.599,4451.369
07:44,4451.369,4451.439,4449.468,4449.488
07:45,4449.558,4451.759,4449.019,4451.618
07:46,4451.618,4453.149,4451.298,4453.089
07:47,4453.108,4453.209,4451.418,4452.859
07:48,4452.798,4453.399,4452.798,4453.229
07:49,4453.085,4453.088,4452.515,4452.899
07:50,4452.868,4453.379,4451.548,4451.878
07:51,4451.878,4453.165,4451.868,4453.118
07:52,4453.128,4453.135,4451.455,4452.125
07:53,4451.955,4451.955,4448.545,4448.805
07:54,4448.805,4449.415,4448.265,4448.265
07:55,4448.265,4448.685,4447.685,4448.035
07:56,4448.035,4448.415,4446.715,4446.715
07:57,4446.655,4447.535,4446.225,4446.925
07:58,4446.835,4448.555,4446.485,4446.785
07:59,4446.745,4446.745,4444.685,4444.685
08:00,4444.609,4448.255,4443.205,4446.775
08:01,4446.745,4448.685,4445.825,4447.335
08:02,4447.545,4448.755,4446.575,4448.575
08:03,4448.605,4449.765,4447.295,4447.385
08:04,4447.435,4448.035,4444.785,4445.495
08:05,4445.525,4446.615,4444.685,4445.165
08:06,4445.185,4445.235,4438.035,4438.945
08:07,4439.055,4439.905,4437.565,4438.815
08:08,4438.785,4439.175,4432.335,4432.565
08:09,4432.555,4435.465,4428.815,4429.615
08:10,4429.585,4434.175,4427.505,4433.565
08:11,4433.595,4435.845,4429.755,4430.605
08:12,4430.585,4431.655,4429.545,4431.415
08:13,4431.415,4433.305,4429.665,4431.985
08:14,4431.985,4433.875,4431.845,4432.848
08:15,4432.848,4438.458,4431.915,4437.975
08:16,4437.955,4438.898,4435.755,4437.195
08:17,4437.165,4437.775,4431.375,4433.385
08:18,4433.365,4435.185,4429.735,4434.895
08:19,4435.005,4435.985,4433.355,4433.695
08:20,4433.675,4436.815,4432.325,4435.665
08:21,4435.545,4437.865,4435.155,4437.615
08:22,4437.398,4438.235,4436.575,4437.105
08:23,4437.075,4442.815,4436.665,4442.615
08:24,4442.515,4443.405,4441.245,4441.995
08:25,4441.995,4443.605,4440.365,4442.065
08:26,4442.035,4443.825,4441.975,4443.155
08:27,4443.135,4446.555,4443.025,4446.465
08:28,4446.495,4447.065,4444.415,4444.745
08:29,4444.715,4444.715,4441.475,4441.865
08:30,4441.915,4445.755,4441.625,4444.525
08:31,4444.555,4446.075,4443.115,4443.635
08:32,4443.615,4446.745,4442.865,4443.245
08:33,4443.225,4443.365,4441.175,4442.265
08:34,4442.295,4445.155,4440.925,4443.225
08:35,4443.205,4444.465,4440.205,4440.905
08:36,4440.825,4444.265,4440.605,4443.975
08:37,4443.975,4444.115,4438.845,4439.245
08:38,4439.225,4441.545,4437.995,4441.175
08:39,4441.195,4443.995,4441.105,4443.365
08:40,4443.415,4445.575,4441.015,4445.095
08:41,4445.085,4446.765,4443.755,4446.575
08:42,4446.585,4449.425,4446.285,4449.295
08:43,4449.125,4450.545,4448.695,4449.045
08:44,4449.065,4449.225,4444.665,4445.055
08:45,4445.098,4446.999,4444.485,4446.999
